jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,109,6553
Jalan Arteri,93,1280291
Jalan Tol,39,575430
Angkutan Penyeberangan,41,601
Angkutan Laut,201,915
Angkutan Udara,9,18
Angkutan Perkeretaapian,377,373
