,jenis,jumlah_penumpang,jumlah_sarana
0,Angkutan Jalan,97692,8377
1,Angkutan Penyeberangan,83336,854
2,Angkutan Laut,64152,1121
3,Angkutan Udara,1526,19
4,Angkutan Perkeretaapian,103954,373
