jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,119,10411
Jalan Arteri,93,2316098
Jalan Tol,39,991598
Angkutan Penyeberangan,47,977
Angkutan Laut,212,1136
Angkutan Udara,13,36
Angkutan Perkeretaapian,377,374
