jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,53761,5149
Angkutan Penyeberangan,44391,487
Angkutan Laut,38470,780
Angkutan Udara,207,6
Angkutan Perkeretaapian,89074,379
