jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,106,7371
Jalan Arteri,91,1639853
Jalan Tol,42,761006
Angkutan Penyeberangan,38,687
Angkutan Laut,157,1048
Angkutan Udara,8,16
Angkutan Perkeretaapian,376,379
