jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,89273,7935
Angkutan Penyeberangan,95363,822
Angkutan Laut,61272,1022
Angkutan Udara,105844,1351
Angkutan Perkeretaapian,117886,391
