jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,118,9403
Jalan Arteri,96,2406067
Jalan Tol,42,986814
Angkutan Penyeberangan,35,414
Angkutan Laut,146,1099
Angkutan Udara,46,588
Angkutan Perkeretaapian,377,392
