,jenis,jumlah_titik,jumlah_sarana
0,Angkutan Jalan,99,8377
1,Jalan Arteri,94,1801748
2,Jalan Tol,42,901151
3,Angkutan Penyeberangan,43,854
4,Angkutan Laut,215,1121
5,Angkutan Udara,6,19
6,Angkutan Perkeretaapian,376,373
