jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,36,514
Jalan Arteri,34,39082
Jalan Tol,2,6529
Angkutan Penyeberangan,12,92
Angkutan Laut,70,115
Angkutan Perkeretaapian,322,309
