jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,124099,10519
Angkutan Penyeberangan,113780,1022
Angkutan Laut,77838,1136
Angkutan Udara,3056,36
Angkutan Perkeretaapian,103770,374
