jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,108,7801
Jalan Arteri,92,1744086
Jalan Tol,42,829084
Angkutan Penyeberangan,38,705
Angkutan Laut,158,1075
Angkutan Udara,8,16
Angkutan Perkeretaapian,377,379
