jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,119,10519
Jalan Arteri,93,2352529
Jalan Tol,39,1016040
Angkutan Penyeberangan,47,1022
Angkutan Laut,212,1136
Angkutan Udara,13,36
Angkutan Perkeretaapian,377,374
