jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,35684,3707
Angkutan Penyeberangan,36737,410
Angkutan Laut,955,17
Angkutan Udara,22400,484
Angkutan Perkeretaapian,107829,388
