jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,94,3761
Jalan Arteri,91,548465
Jalan Tol,39,357519
Angkutan Penyeberangan,35,410
Angkutan Laut,148,567
Angkutan Udara,1,3
Angkutan Perkeretaapian,377,378
