jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,115,10351
Jalan Arteri,92,2157908
Jalan Tol,42,1091876
Angkutan Penyeberangan,4,5
Angkutan Laut,161,1138
Angkutan Udara,8,16
Angkutan Perkeretaapian,245,312
