jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,71606,6827
Angkutan Penyeberangan,37593,414
Angkutan Laut,55382,983
Angkutan Udara,25814,520
Angkutan Perkeretaapian,123793,392
