jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,48510,4845
Angkutan Penyeberangan,48020,500
Angkutan Laut,43509,762
Angkutan Udara,1129,12
Angkutan Perkeretaapian,88243,372
