jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,118913,10202
Angkutan Penyeberangan,37593,414
Angkutan Laut,71380,1116
Angkutan Udara,31872,590
Angkutan Perkeretaapian,136509,392
