jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,26,312
Jalan Arteri,34,22087
Jalan Tol,2,2041
Angkutan Penyeberangan,8,16
Angkutan Laut,70,112
Angkutan Perkeretaapian,322,309
