jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,96,7935
Jalan Arteri,90,1536035
Jalan Tol,41,834595
Angkutan Penyeberangan,42,822
Angkutan Laut,147,1022
Angkutan Udara,51,1351
Angkutan Perkeretaapian,375,391
