jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,41788,4239
Angkutan Penyeberangan,42422,443
Angkutan Laut,35001,671
Angkutan Udara,1129,12
Angkutan Perkeretaapian,84420,370
