jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,116,9490
Jalan Arteri,93,2203504
Jalan Tol,39,922064
Angkutan Penyeberangan,44,893
Angkutan Laut,212,1126
Angkutan Udara,13,34
Angkutan Perkeretaapian,377,374
