jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,105,6397
Jalan Arteri,91,815544
Jalan Tol,42,622974
Angkutan Penyeberangan,38,585
Angkutan Laut,155,926
Angkutan Udara,7,8
Angkutan Perkeretaapian,377,379
