jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,101,10018
Jalan Arteri,94,2095959
Jalan Tol,42,1110763
Angkutan Penyeberangan,49,1054
Angkutan Laut,215,1172
Angkutan Udara,8,29
Angkutan Perkeretaapian,376,373
