jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,270,19806
Jalan Arteri,90,1050891
Jalan Tol,39,650370
Angkutan Penyeberangan,2,4
Angkutan Laut,146,962
Angkutan Udara,50,1166
Angkutan Perkeretaapian,375,391
