jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,60764,5721
Angkutan Penyeberangan,46998,528
Angkutan Laut,42549,859
Angkutan Udara,478,8
Angkutan Perkeretaapian,91135,379
