jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,116,7451
Jalan Arteri,34,944370
Jalan Tol,42,724900
Angkutan Penyeberangan,35,414
Angkutan Laut,142,1020
Angkutan Udara,44,535
Angkutan Perkeretaapian,364,392
