jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,59144,5788
Angkutan Penyeberangan,49262,531
Angkutan Laut,50220,835
Angkutan Udara,1129,12
Angkutan Perkeretaapian,90229,372
