jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,121,9729
Jalan Arteri,96,2553022
Jalan Tol,42,1034697
Angkutan Penyeberangan,35,414
Angkutan Laut,146,1106
Angkutan Udara,46,588
Angkutan Perkeretaapian,377,392
