jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,106532,9403
Angkutan Penyeberangan,37593,414
Angkutan Laut,68498,1099
Angkutan Udara,31711,588
Angkutan Perkeretaapian,134708,392
