jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,32,405
Jalan Arteri,34,31705
Jalan Tol,2,4402
Angkutan Penyeberangan,12,56
Angkutan Laut,70,115
Angkutan Perkeretaapian,322,309
