jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,115942,10059
Angkutan Penyeberangan,86576,919
Angkutan Laut,76776,1133
Angkutan Udara,3056,36
Angkutan Perkeretaapian,102779,374
