jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,75671,7077
Angkutan Penyeberangan,57088,646
Angkutan Laut,62350,993
Angkutan Udara,2618,28
Angkutan Perkeretaapian,93899,373
