jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,87,3026
Jalan Arteri,91,482338
Jalan Tol,39,305894
Angkutan Penyeberangan,31,359
Angkutan Laut,125,394
Angkutan Perkeretaapian,375,378
