jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,55,1566
Jalan Arteri,29,188537
Jalan Tol,37,196636
Angkutan Penyeberangan,20,236
Angkutan Laut,113,304
Angkutan Perkeretaapian,372,370
