jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,122623,10018
Angkutan Penyeberangan,106130,1054
Angkutan Laut,71840,1172
Angkutan Udara,2639,29
Angkutan Perkeretaapian,107217,373
