jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,238140,21786
Angkutan Penyeberangan,595,6
Angkutan Laut,56058,994
Angkutan Udara,96720,1248
Angkutan Perkeretaapian,116157,391
