jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,69629,6397
Angkutan Penyeberangan,51296,585
Angkutan Laut,45861,926
Angkutan Udara,478,8
Angkutan Perkeretaapian,92961,379
