jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,110,7077
Jalan Arteri,93,1358211
Jalan Tol,39,643607
Angkutan Penyeberangan,41,646
Angkutan Laut,205,993
Angkutan Udara,11,28
Angkutan Perkeretaapian,377,373
