jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,88,5951
Jalan Arteri,90,1000748
Jalan Tol,39,587930
Angkutan Penyeberangan,2,4
Angkutan Laut,144,884
Angkutan Udara,47,1038
Angkutan Perkeretaapian,375,391
