jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,214971,19806
Angkutan Penyeberangan,458,4
Angkutan Laut,53516,962
Angkutan Udara,84760,1166
Angkutan Perkeretaapian,114412,391
