jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,45514,4520
Angkutan Penyeberangan,40700,453
Angkutan Laut,33121,667
Angkutan Udara,207,6
Angkutan Perkeretaapian,85181,378
