jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,28829,2919
Angkutan Penyeberangan,31639,332
Angkutan Laut,20952,477
Angkutan Udara,292,5
Angkutan Perkeretaapian,80495,370
