jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,100,4675
Jalan Arteri,34,647855
Jalan Tol,39,417321
Angkutan Penyeberangan,31,410
Angkutan Laut,132,752
Angkutan Udara,40,496
Angkutan Perkeretaapian,377,392
