jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,107928,9490
Angkutan Penyeberangan,84211,893
Angkutan Laut,75214,1126
Angkutan Udara,2945,34
Angkutan Perkeretaapian,102055,374
