jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,101,9760
Jalan Arteri,94,2055113
Jalan Tol,42,1082381
Angkutan Penyeberangan,48,1007
Angkutan Laut,215,1171
Angkutan Udara,8,29
Angkutan Perkeretaapian,376,373
