jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,115,10155
Jalan Arteri,92,2122045
Jalan Tol,42,1070990
Angkutan Penyeberangan,38,705
Angkutan Laut,161,1133
Angkutan Udara,8,16
Angkutan Perkeretaapian,370,379
