jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,103686,8786
Angkutan Penyeberangan,83336,854
Angkutan Laut,64152,1121
Angkutan Udara,1526,19
Angkutan Perkeretaapian,103954,373
