jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,111,7616
Jalan Arteri,93,1838236
Jalan Tol,39,710346
Angkutan Penyeberangan,42,696
Angkutan Laut,207,1038
Angkutan Udara,12,33
Angkutan Perkeretaapian,377,373
