jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,24,173
Jalan Arteri,29,25759
Jalan Tol,2,2047
Angkutan Penyeberangan,8,18
Angkutan Laut,77,119
Angkutan Perkeretaapian,322,301
