jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,91,3707
Jalan Arteri,34,510000
Jalan Tol,37,292574
Angkutan Penyeberangan,31,410
Angkutan Laut,14,17
Angkutan Udara,37,484
Angkutan Perkeretaapian,376,388
