jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,122319,10411
Angkutan Penyeberangan,104815,977
Angkutan Laut,77770,1136
Angkutan Udara,3056,36
Angkutan Perkeretaapian,103225,374
