jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,121,10015
Jalan Arteri,96,2607428
Jalan Tol,42,1073879
Angkutan Penyeberangan,35,414
Angkutan Laut,147,1115
Angkutan Udara,46,588
Angkutan Perkeretaapian,377,392
