jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,80,2256
Jalan Arteri,91,405189
Jalan Tol,39,252869
Angkutan Penyeberangan,25,297
Angkutan Laut,125,394
Angkutan Perkeretaapian,375,378
