jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,114,8204
Jalan Arteri,93,1931786
Jalan Tol,39,757381
Angkutan Penyeberangan,42,746
Angkutan Laut,207,1084
Angkutan Udara,12,33
Angkutan Perkeretaapian,377,373
