jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,104529,9245
Angkutan Penyeberangan,78963,835
Angkutan Laut,73049,1112
Angkutan Udara,2892,33
Angkutan Perkeretaapian,101333,374
