jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,115,6827
Jalan Arteri,34,861590
Jalan Tol,42,655922
Angkutan Penyeberangan,35,414
Angkutan Laut,142,983
Angkutan Udara,43,520
Angkutan Perkeretaapian,377,392
