jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,42125,4241
Angkutan Penyeberangan,36737,410
Angkutan Laut,34756,680
Angkutan Udara,23455,495
Angkutan Perkeretaapian,112271,390
