jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,76319,6964
Angkutan Penyeberangan,57908,640
Angkutan Laut,56618,1023
Angkutan Udara,899,16
Angkutan Perkeretaapian,95004,379
