jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,106,6964
Jalan Arteri,91,891421
Jalan Tol,42,698610
Angkutan Penyeberangan,38,640
Angkutan Laut,155,1023
Angkutan Udara,8,16
Angkutan Perkeretaapian,377,379
