jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,64343,5951
Angkutan Penyeberangan,458,4
Angkutan Laut,48110,884
Angkutan Udara,74032,1038
Angkutan Perkeretaapian,112517,391
