jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,26,317
Jalan Arteri,29,38228
Jalan Tol,2,4525
Angkutan Penyeberangan,11,54
Angkutan Laut,77,120
Angkutan Perkeretaapian,322,302
