jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,110037,9249
Angkutan Penyeberangan,93307,954
Angkutan Laut,68952,1148
Angkutan Udara,2438,27
Angkutan Perkeretaapian,105761,373
