jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,41,1075
Jalan Arteri,29,108207
Jalan Tol,36,137442
Angkutan Penyeberangan,15,190
Angkutan Laut,92,218
Angkutan Perkeretaapian,345,370
